"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Áreas de Reflorestamento",17,208.258690454102,12.2505112031824,8.75161319226614
"2","Pastagem",44,3821.94286151123,86.8623377616189,247.189440880573
"3","Vegetação Nativa",25,5488.92932449951,219.55717297998,891.424145049128
