"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Água",24,84.045847265625,3.50191030273437,4.31301430601974
"2","Áreas abertas",21,129.211222021484,6.1529153343564,7.98614218871911
"3","Agricultura",4,137.251085302734,34.3127713256836,29.7626124249444
"4","Reflorestamento",4,19.2914264404297,4.82285661010742,3.05213622822088
"5","Áreas urbanas",7,189.765336791992,27.1093338274275,40.7754372902365
"6","Afloramento rochoso",1,5.874871484375,5.874871484375,NA
"7","Pastagem",79,14865.922594165,188.176235369178,1075.04120286982
"8","Vegetação nativa",104,13773.1566889404,132.43419893212,407.727748321948
