"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Água",15,396.827887573242,26.4551925048828,56.8450369297764
"2","Áreas Abertas (úmidas + Secas)",1,12.6000258056641,12.6000258056641,NA
"3","Áreas Agricolas",2,480.156565039063,240.078282519531,331.171571736842
"4","Áreas de Reflorestamento",14,4891.46880686035,349.390629061454,473.541598384073
"5","Áreas Urbanas",3,32.5949693603516,10.8649897867839,15.156206210455
"6","Pastagem",57,20230.7297779785,354.925083824184,2254.55021750817
"7","Vegetação Nativa",166,9538.42850847168,57.4604127016366,229.360297530343
