"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Aeroporto",1,62.6457924926758,62.6457924926758,NA
"2","Água",10,160.541873339844,16.0541873339844,39.3355918779211
"3","Áreas de Reflorestamento",9,520.53719786377,57.8374664293077,66.079552953845
"4","Áreas Urbanas",3,873.693045361328,291.231015120443,239.417104283752
"5","Pastagem",14,11567.4773391113,826.248381365095,3044.60354515012
"6","Rodovias",4,84.8167860717773,21.2041965179443,30.9702192937832
"7","Vegetação Nativa",103,4145.82448135986,40.2507231199987,68.5707950013927
