"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Afloramento Rochoso",198,2401.93097498779,12.1309645201404,15.043703871311
"2","Água",6,12.5743709228516,2.09572848714193,1.21335544625596
"3","Áreas Abertas (úmidas + Secas)",3,4.15761540527344,1.38587180175781,0.208006075778424
"4","Áreas Agricolas",45,288.007614794922,6.40016921766493,6.42311300480367
"5","Áreas de Reflorestamento",6,117.863393676758,19.6438989461263,12.6612218645279
"6","Áreas Urbanas",15,185.860822155762,12.3907214770508,14.5335569943635
"7","Pastagem",172,21694.9068334106,126.133179264015,1007.3258341303
"8","Rodovias",1,106.047536413574,106.047536413574,NA
"9","Vegetação Nativa",185,22312.3697907104,120.607404274111,1175.96585927046
