"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Aeroporto",1,0.728598071289063,0.728598071289063,NA
"2","Água",10,874.448538745117,87.4448538745117,267.285318678134
"3","Áreas Abertas (úmidas + Secas)",1,3.73653950195312,3.73653950195312,NA
"4","Áreas Agricolas",6,127.736768237305,21.2894613728841,41.4837293671494
"5","Áreas de Mineração",2,4.85562392578125,2.42781196289063,1.14569290414705
"6","Áreas Urbanas",16,3188.44846657715,199.278029161072,387.637396669824
"7","Pastagem",23,12202.4919208008,530.543126991338,1965.22754094622
"8","Rodovias",6,205.077762084961,34.1796270141602,46.3313167982658
"9","Vegetação Nativa",39,1135.86660083008,29.1247846366687,127.129962562468
