"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Afloramento Rochoso",28,1519.84218781738,54.2800781363351,108.73976718624
"2","Água",2,1104.02779865723,552.013899328613,725.392094245159
"3","Áreas Abertas (úmidas + Secas)",4,75.1828327392578,18.7957081848145,12.7043907805417
"4","Áreas de Reflorestamento",2,101.508622216797,50.7543111083984,71.7223347546974
"5","Áreas Urbanas",5,816.040578955078,163.208115791016,172.385274798136
"6","Pastagem",117,39754.5992099609,339.782899230435,2750.92656932935
"7","Vegetação Nativa",228,16614.0585748291,72.8686779597768,719.585792100322
