"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Aeroporto",1,28.0856403076172,28.0856403076172,NA
"2","Água",89,5037.86886643066,56.6052681621423,111.506674276953
"3","Áreas Agricolas",1,256.982142382813,256.982142382813,NA
"4","Áreas de Mineração",1,26.5518646972656,26.5518646972656,NA
"5","Áreas de Reflorestamento",39,8217.44289838867,210.703664061248,790.46807272842
"6","Áreas Urbanas",27,5475.81710268555,202.808040840205,474.223461362161
"7","Pastagem",162,32259.2196197998,199.130985307406,1317.74797325185
"8","Rodovias",1,2.14139653320313,2.14139653320313,NA
"9","Vegetação Nativa",209,53033.3526896973,253.748098993767,2778.30388528489
