"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Afloramento Rochoso",111,30454.0148501587,274.360494145574,1552.31696925903
"2","Água",16,548.619082128906,34.2886926330566,38.5018657675488
"3","Áreas Abertas (úmidas + Secas)",5,301.021051586914,60.2042103173828,80.7394880224858
"4","Áreas de Mineração",12,4080.21144897461,340.017620747884,642.297454296971
"5","Áreas de Reflorestamento",72,1698.17186096191,23.5857202911377,50.5443066284441
"6","Áreas Urbanas",11,2909.02007811279,264.456370737527,383.622002903285
"7","Pastagem",587,29610.980318042,50.4446002010937,280.876119310606
"8","Rodovias",2,61.5835744140625,30.7917872070312,4.11343062995667
"9","Vegetação Nativa",298,77560.3909098877,260.269768153986,2500.2651296496
