"","Uso","area_ha.length","area_ha.sum","area_ha.mean","area_ha.sd"
"1","Aeroporto",1,5.970320703125,5.970320703125,NA
"2","Afloramento Rochoso",15,2175.05312341309,145.003541560872,402.573994226791
"3","Água",3,95.6860471435547,31.8953490478516,37.1140913010518
"4","Áreas de Reflorestamento",4,2035.87300722656,508.968251806641,735.007304935803
"5","Áreas Urbanas",2,407.229603051758,203.614801525879,280.685399653573
"6","Pastagem",55,10495.4254978027,190.825918141868,674.185730271942
"7","Vegetação Nativa",68,10476.4919760742,154.06605847168,651.513383076861
